relation,metric,mean,ci_low,ci_high,num_tasks
direct_opposite_label,direct_V_sufficiency,0.022614951943978667,0.02065911965328269,0.02455137714860029,32
opposite_same_wording,cross_selected_V_sufficiency,0.14153699483722448,0.12979153832784504,0.15265040263257104,32
opposite_same_wording,matched_negative_ISSUE_V_sufficiency,0.0004932575684506446,-5.698176610167138e-05,0.0010556164481386075,32
opposite_same_wording,old_absolute_V_sufficiency,0.13652624690439552,0.12453201255411842,0.14779307291319127,32
opposite_same_wording,reader_all28_necessity,0.14002641846309416,0.12789157885636088,0.15146921784544248,32
opposite_same_wording,reader_all28_sufficiency,0.14002641846309416,0.12789157885636088,0.15146921784544248,32
opposite_same_wording,reader_leakage_ratio,0.0,0.0,0.0,32
opposite_same_wording,reader_negative_neg_necessity,-0.02510871592676267,-0.02822064913343638,-0.021819328499259428,32
opposite_same_wording,reader_negative_neg_sufficiency,-0.01984910290047992,-0.022455642088243622,-0.017212287321308396,32
opposite_same_wording,reader_non_set_necessity,0.0,0.0,0.0,32
opposite_same_wording,reader_non_set_sufficiency,0.0,0.0,0.0,32
opposite_same_wording,reader_target_pos_necessity,0.15987552136357408,0.14566056880357792,0.17321704718415276,32
opposite_same_wording,reader_target_pos_sufficiency,0.16513513438985683,0.1502061587460048,0.17912487399080418,32
opposite_same_wording,reader_verified_v_effect,0.14002641846309416,0.12789157885636088,0.15146921784544248,32
opposite_same_wording,runner_up_V_necessity_loss,2.3735110222551157,2.189966506820929,2.5577283142816665,32
opposite_same_wording,runner_up_V_sufficiency,0.0030873122886987403,0.002412657131208107,0.00376931460959895,32
opposite_same_wording,same_state_selected_V_control,0.002016129728872329,0.0009496815830061678,0.003303707727900473,32
opposite_same_wording,selected_V_necessity_loss,0.1508784457910224,0.13910360539775865,0.16253117701908196,32
opposite_same_wording,selected_V_sufficiency,0.14002641846309416,0.12789157885636088,0.15146921784544248,32
