family,metric,mean,ci_low,ci_high,num_tasks
test_edit,H20_residual_reference,1.4240803090506233,1.3824518350345898,1.468621159192844,16
test_edit,frozen_V_sufficiency,0.004382298153359443,0.0017889610317070037,0.006710496721643721,16
test_edit,frozen_V_necessity_loss,0.0060210321680642664,0.003963716032012598,0.00794208149818587,16
test_edit,target_reader_sufficiency,0.09369545047229622,0.08980388285926892,0.0970038572064368,16
test_edit,target_reader_necessity,0.06930454232497141,0.06711832933724508,0.07133836762659485,16
search_edit,H20_residual_reference,1.1822420169773977,1.1485481264353439,1.2185030813219782,16
search_edit,frozen_V_sufficiency,-0.015339741163188592,-0.018863658759801182,-0.012148879443702755,16
search_edit,frozen_V_necessity_loss,-0.013413509441306815,-0.01908555351619725,-0.008660559340933108,16
search_edit,target_reader_sufficiency,0.07600970429484732,0.07221462987945415,0.07958090393731254,16
search_edit,target_reader_necessity,0.06724370815209113,0.06385837989946594,0.07084620647365227,16
config_command,H20_residual_reference,0.8507024834689219,0.8265231980265526,0.874271202100499,16
config_command,frozen_V_sufficiency,0.010379487735917792,0.008682875049998984,0.01217378114524763,16
config_command,frozen_V_necessity_loss,0.0014471461763605475,-0.0008441561090876349,0.0038098806835478163,16
config_command,target_reader_sufficiency,0.05915499871480279,0.05675211373672937,0.061545614973874764,16
config_command,target_reader_necessity,0.05299905128777027,0.050943478495901216,0.05515089391919901,16
docs_code,H20_residual_reference,1.199453952460317,1.1142628670066188,1.2839513289160094,16
docs_code,frozen_V_sufficiency,-0.05177816952345893,-0.055268837109179,-0.04817260925119626,16
docs_code,frozen_V_necessity_loss,-0.05402436328586191,-0.06025034705526196,-0.04841749867919134,16
docs_code,target_reader_sufficiency,0.07636888092383742,0.06959295355627546,0.08271221128961768,16
docs_code,target_reader_necessity,0.05837574272300117,0.05455138750767219,0.062204316861607364,16
