head,bin_index,effect_type,mean,ci_low,ci_high,sign_flip_p,bh_q
0,0,necessity_loss,8.604799707730611e-05,-0.0005145120744903883,0.0006938099938755222,0.7900104994750262,0.8618296357909376
0,1,necessity_loss,-0.0005059552689393362,-0.0011566735260809462,0.00015043466507146705,0.14744262786860657,0.505517581263794
0,2,necessity_loss,0.00032264118393262226,-0.00035371288346747556,0.001023278920911252,0.36093195340232986,0.6663359139735321
0,3,necessity_loss,0.00013467390090227127,-0.0006262863287702203,0.0008933899148056894,0.7166641667916605,0.819044762047612
0,4,necessity_loss,0.0017983174572388332,0.0011175165030484397,0.002555270221394797,4.999750012499375e-05,0.000599970001499925
0,5,necessity_loss,0.044482024386525154,0.04151590859983116,0.04760492473530272,4.999750012499375e-05,0.000599970001499925
1,0,necessity_loss,0.00013200255731741586,-0.00048242306802421804,0.0007801636587828389,0.6877156142192891,0.819044762047612
1,1,necessity_loss,-0.00020129854480425516,-0.0007699505503599842,0.0003794892691075801,0.496075196240188,0.7601972842534344
1,2,necessity_loss,0.0004924563691020012,-0.00019435524785270294,0.0011479043789828815,0.1694915254237288,0.5084745762711864
1,3,necessity_loss,-0.00022307721277077994,-0.0008695202957217892,0.00042271484465648704,0.5155242237888106,0.7601972842534344
1,4,necessity_loss,0.0001565413549542427,-0.00042721030768007036,0.0007414210354909298,0.6058697065146743,0.8078262753528991
1,5,necessity_loss,-0.00022527916977802911,-0.0008543273899704217,0.0003977238588655988,0.4941252937353132,0.7601972842534344
2,0,necessity_loss,-0.0003799799208839734,-0.0009776097877571982,0.00021584359928965527,0.22828858557072146,0.5889305534723264
2,1,necessity_loss,-0.0006829093520840009,-0.0012791922238344947,-4.099654033780165e-05,0.037948102594870255,0.18215089245537724
2,2,necessity_loss,0.00012704109152158102,-0.0005435072661687931,0.0007895644676561151,0.7141642917854107,0.819044762047612
2,3,necessity_loss,-0.00033836594472328824,-0.0009710642276331783,0.00027545556270827795,0.3008849557522124,0.6017699115044248
2,4,necessity_loss,-0.00047271760801474255,-0.0010663197531054418,0.00011274764159073376,0.13964301784910754,0.505517581263794
2,5,necessity_loss,-4.9439879755179085e-05,-0.0006855203925321499,0.0006230976898223161,0.8849057547122644,0.8849057547122644
3,0,necessity_loss,-6.730233629544576e-05,-0.0008100819230700533,0.000658749276772141,0.8574071296435178,0.8849057547122644
3,1,necessity_loss,0.0003964385638634364,-0.0003417225865026315,0.001111889413247506,0.3000349982500875,0.6017699115044248
3,2,necessity_loss,0.0003567878156900406,-0.00019646899309009314,0.0009323606888453161,0.24538773061346933,0.5889305534723264
3,3,necessity_loss,-0.001061937150855859,-0.0017038849648088215,-0.0004415197220320506,0.002999850007499625,0.020998950052497377
3,4,necessity_loss,-0.00023286386082569757,-0.0009659093882267674,0.0005008941361059742,0.5384730763461827,0.7601972842534344
3,5,necessity_loss,-0.0013675686592857044,-0.002226734735692541,-0.000499665721630059,0.0034998250087495625,0.020998950052497377
0,0,sufficiency,-0.0005886595075329145,-0.0011922796722501517,1.6372123112281134e-05,0.06709664516774161,0.16103194840257987
0,1,sufficiency,-0.0006080931052565575,-0.001181143793898324,-1.4403920310239421e-05,0.0463976801159942,0.13919304034798258
0,2,sufficiency,-0.000282441886762778,-0.0009352411841973662,0.00039718888389567484,0.41722913854307286,0.4722309339078501
0,3,sufficiency,0.0004465241606036822,-0.00021218407588700455,0.0010982676021133856,0.1894405279736013,0.3497363593358793
0,4,sufficiency,0.0012240859990318616,0.00031260681959489986,0.0021418921339015165,0.012099395030248488,0.048397580120993954
0,5,sufficiency,0.04478038288652897,0.042171729068892695,0.04760867883451283,4.999750012499375e-05,0.000599970001499925
1,0,sufficiency,-0.0006527872756123543,-0.001229087682440877,-8.2933770803114e-05,0.026998650067496625,0.09256680023141699
1,1,sufficiency,-0.00031901740779479343,-0.0009824062852809826,0.0003416254262750347,0.36278186090695463,0.4722309339078501
1,2,sufficiency,-0.00035222526639699936,-0.0010763338068500161,0.00037331714605291566,0.3624818759062047,0.4722309339078501
1,3,sufficiency,-0.00030482374131679535,-0.0009735330163190762,0.00038701534892121884,0.3834808259587021,0.4722309339078501
1,4,sufficiency,-0.00026226540406545,-0.000873144514237841,0.0003510948736220596,0.4055297235138243,0.4722309339078501
1,5,sufficiency,-0.00028184428811073303,-0.0008774454394976298,0.0003528368581707275,0.3767311634418279,0.4722309339078501
2,0,sufficiency,-0.0012336873138944309,-0.0018647414864972234,-0.0005906916068245971,0.0006499675016249188,0.004499775011249438
2,1,sufficiency,-0.0007029976695775986,-0.0013658918673172594,-1.5950521143774397e-05,0.0543972801359932,0.14505941369598185
2,2,sufficiency,-0.0004082399730881055,-0.0010231653694063425,0.00022685718722641467,0.21018949052547373,0.36032484090081207
2,3,sufficiency,0.00019838009029626846,-0.000500323281933864,0.0009290083699549235,0.5823208839558022,0.6076391832582284
2,4,sufficiency,-0.00028715717295805615,-0.0009769936790689825,0.0003945779676238693,0.4258287085645718,0.4722309339078501
2,5,sufficiency,-0.00047190052767594654,-0.0011347169677416483,0.0002483109167466559,0.18764061796910156,0.3497363593358793
3,0,sufficiency,-0.0016060440490643184,-0.0024641964041317503,-0.0007139708148315556,0.0007499625018749063,0.004499775011249438
3,1,sufficiency,-9.798879424730937e-05,-0.0006971639736245076,0.0004985888566200919,0.7555122243887805,0.7555122243887805
3,2,sufficiency,-0.00027322955429553986,-0.0009308417715753118,0.00041141423862427423,0.4328783560821959,0.4722309339078501
3,3,sufficiency,-0.0011390428990125656,-0.0019431384357934197,-0.00032218963218232105,0.009149542522873857,0.04391780410979451
3,4,sufficiency,-0.00047593874235947925,-0.0011331861605867743,0.00023641017420838195,0.17974101294935252,0.3497363593358793
3,5,sufficiency,-0.0016053523868322372,-0.00228241429819415,-0.0009370892463872834,4.999750012499375e-05,0.000599970001499925
