relation,metric,mean,ci_low,ci_high,num_tasks
direct_opposite_label,direct_V_sufficiency,0.0035166756661055842,0.0004665731534601038,0.006441648954546505,32
opposite_same_wording,cross_selected_V_sufficiency,0.01945204564094638,0.01386577666672224,0.02541206372856095,32
opposite_same_wording,matched_negative_ISSUE_V_sufficiency,0.0009900034053771378,-0.0016905414274901887,0.003870967545668687,32
opposite_same_wording,old_absolute_V_sufficiency,-0.12277818619327263,-0.1687850750684845,-0.0813088781612749,32
opposite_same_wording,reader_all28_necessity,0.0253981141092936,0.018224044448476206,0.033105170197256936,32
opposite_same_wording,reader_all28_sufficiency,0.0253981141092936,0.018224044448476206,0.033105170197256936,32
opposite_same_wording,reader_leakage_ratio,0.15293183038015862,0.1350993226142112,0.16908417290344338,32
opposite_same_wording,reader_negative_neg_necessity,-0.012023291468608477,-0.016001560773705136,-0.00845436093687511,32
opposite_same_wording,reader_negative_neg_sufficiency,-0.011922183933506858,-0.015287966134880548,-0.00859013425068156,32
opposite_same_wording,reader_non_set_necessity,0.0007413138068841363,-0.0013162029034504029,0.0028567188502790935,32
opposite_same_wording,reader_non_set_sufficiency,-0.0016246201207650302,-0.0036688649861559954,0.00046943452675236364,32
opposite_same_wording,reader_target_pos_necessity,0.037469738314257484,0.0281241177895879,0.047691322330183535,32
opposite_same_wording,reader_target_pos_sufficiency,0.03802279038313827,0.02784459964425423,0.04920924988085743,32
opposite_same_wording,reader_verified_v_effect,0.0253981141092936,0.018224044448476206,0.033105170197256936,32
opposite_same_wording,runner_up_V_necessity_loss,0.1343258432265202,0.09316160782083216,0.1794243364630801,32
opposite_same_wording,runner_up_V_sufficiency,0.014022051042275052,0.009212768807884686,0.01929942098142305,32
opposite_same_wording,same_state_selected_V_control,-0.011951673640623994,-0.01813151086574294,-0.006590447940061495,32
opposite_same_wording,selected_V_necessity_loss,0.02656787574221653,0.02055865232598535,0.03269405933817779,32
opposite_same_wording,selected_V_sufficiency,0.0253981141092936,0.018224044448476206,0.033105170197256936,32
