offset,endpoint,mean,ci_low,ci_high,sign_flip_p,num_tasks,bh_q,decoded_token
-20,leave_one_out_loss,0.0002172272652387619,-0.0005640937481075526,0.0009610142791643728,0.5824208789560522,32,0.7986267353299001, observed
-20,single_token_necessity_loss,-0.00023659784346818924,-0.0011260016122832893,0.000666902400553226,0.6235188240587971,32,0.9230064812548847, observed
-20,single_token_sufficiency,-0.00020103901624679565,-0.001294699008576572,0.0009042185265570878,0.7362131893405329,32,0.7362131893405329, observed
-19,leave_one_out_loss,0.0006895484402775764,-0.0001478719408623874,0.0015632103779353187,0.12829358532073395,32,0.3207339633018349, behavior
-19,single_token_necessity_loss,0.0007664435543119907,-0.00020915898494422436,0.0018021917087025937,0.14759262036898155,32,0.421693201054233, behavior
-19,single_token_sufficiency,0.00016826018691062927,-0.0007760764216072858,0.0011102892109192905,0.7338133093345333,32,0.7362131893405329, behavior
-18,leave_one_out_loss,-0.0003007403574883938,-0.0010714281001128257,0.00045865625143051117,0.4609269536523174,32,0.7986267353299001, contrad
-18,single_token_necessity_loss,0.000257264357060194,-0.0005540547310374678,0.0010975896264426397,0.5534723263836808,32,0.9230064812548847, contrad
-18,single_token_sufficiency,0.00013078749179840088,-0.0005545742344111205,0.0008731725392863152,0.7259137043147843,32,0.7362131893405329, contrad
-17,leave_one_out_loss,-0.0002008915568391482,-0.0009308055120830734,0.000512901227921247,0.60001999900005,48,0.7986267353299001,icts
-17,single_token_necessity_loss,8.277470866839091e-05,-0.0008093075128272175,0.0009397073105598488,0.8544072796360181,48,0.9230064812548847,icts
-17,single_token_sufficiency,-0.0006301732112963995,-0.0014688599777097505,0.0002168352870891487,0.1511924403779811,48,0.3023848807559622,icts
-16,leave_one_out_loss,0.00022202047208944956,-0.0004519426651919882,0.0008886741396660605,0.5252737363131843,48,0.7986267353299001, the
-16,single_token_necessity_loss,7.773501177628835e-05,-0.000603738590143621,0.0007404970626036324,0.8211089445527724,48,0.9230064812548847, the
-16,single_token_sufficiency,-0.00029250700026750565,-0.0008710701717063784,0.0002785695328687628,0.3327833608319584,48,0.475404801188512, the
-15,leave_one_out_loss,-0.0001126602292060852,-0.000665714320105811,0.00044081644155085086,0.6989150542472876,48,0.7986267353299001, expected
-15,single_token_necessity_loss,0.00038090503464142483,-0.0002184556486705939,0.000982260672996441,0.2313384330783461,48,0.5783460826958652, expected
-15,single_token_sufficiency,-0.0004068914180000623,-0.0011440987465903163,0.00034471812347570973,0.28948552572371383,48,0.475404801188512, expected
-14,leave_one_out_loss,-0.0001376348858078321,-0.0007325799049188692,0.0004422588351493076,0.6391680415979201,48,0.7986267353299001, behavior
-14,single_token_necessity_loss,9.902380406856537e-05,-0.0004900450818240643,0.0006772978386531273,0.7413129343532824,48,0.9230064812548847, behavior
-14,single_token_sufficiency,-0.00043429310123125714,-0.0009772293347244461,0.0001248684168482818,0.1335933203339833,48,0.2968740451866296, behavior
-13,leave_one_out_loss,0.007214876512686412,0.006025000762504836,0.008486499994372329,4.999750012499375e-05,48,0.00024998750062496874,".

"
-13,single_token_necessity_loss,0.006830097486575444,0.0052856358078618845,0.008450110303238029,4.999750012499375e-05,48,0.0003333166674999583,".

"
-13,single_token_sufficiency,0.007453920009235541,0.0063796759738276405,0.008658231313650807,4.999750012499375e-05,48,0.0003333166674999583,".

"
-12,leave_one_out_loss,-9.474965433279673e-06,-0.0005941887308532994,0.0005766074561203518,0.976051197440128,48,0.976051197440128,Choose
-12,single_token_necessity_loss,-0.00014193542301654816,-0.0007163416128605605,0.00042405560767898916,0.6375181240937953,48,0.9230064812548847,Choose
-12,single_token_sufficiency,-0.00019929558038711548,-0.0007828197364384929,0.00040481913990030667,0.5144242787860607,48,0.6858990383814143,Choose
-11,leave_one_out_loss,-0.0001969501997033755,-0.0008046051797767481,0.00039128763601183845,0.5423228838558072,48,0.7986267353299001, the
-11,single_token_necessity_loss,-0.0005226215968529383,-0.001179986074566841,9.50419111177321e-05,0.11779411029448528,48,0.3926470343149509, the
-11,single_token_sufficiency,-0.000426920751730601,-0.0010208195618664224,0.00019033126688251876,0.17019149042547874,48,0.30943907350087047, the
-10,leave_one_out_loss,0.00012180209159851074,-0.0005106028169393539,0.0007722714683040974,0.7187640617969101,48,0.7986267353299001, single
-10,single_token_necessity_loss,-6.878810624281566e-05,-0.0006643252447247505,0.0005653960940738516,0.8330583470826459,48,0.9230064812548847, single
-10,single_token_sufficiency,-0.0005944042156140009,-0.0012169048888608812,7.463852719714222e-05,0.07819609019549023,48,0.19549022548872558, single
-9,leave_one_out_loss,0.0009957142174243927,0.0003894743975251913,0.0016067088271180785,0.003749812509374531,48,0.014999250037498125, next
-9,single_token_necessity_loss,0.001070813275873661,0.0004978373491515716,0.001628082594834268,0.0006499675016249188,48,0.002599870006499675, next
-9,single_token_sufficiency,0.0009244726970791817,0.00023111346332977214,0.0016107352062438925,0.012049397530123494,48,0.048197590120493974, next
-8,leave_one_out_loss,-0.0006563449278473854,-0.001266752105827133,-1.4389570181568775e-05,0.04339783010849457,48,0.1446594336949819, action
-8,single_token_necessity_loss,8.001085370779037e-05,-0.0005502234057833751,0.0007449616755669309,0.8115594220288985,48,0.9230064812548847, action
-8,single_token_sufficiency,-0.00018843822181224823,-0.0008839758423467478,0.0005201199635242421,0.6060696965151743,48,0.7362131893405329, action
-7,leave_one_out_loss,1.0582307974497477e-05,-0.0004912278382107615,0.0005425612675026054,0.9709014549272537,48,0.976051197440128, now
-7,single_token_necessity_loss,8.20153703292211e-06,-0.0006210675385470191,0.0006041477667167779,0.9796510174491275,48,0.9796510174491274, now
