recipient_label,relation,metric,mean,ci_low,ci_high,num_tasks
0,opposite_cross_wording,cross_selected_V_necessity_loss,0.030236304839490913,0.021951249209450907,0.03894778023168327,32
0,opposite_cross_wording,cross_selected_V_sufficiency,0.025555494736181572,0.019373516211635432,0.03228756374810473,32
0,opposite_same_wording,old_absolute_V_sufficiency,-0.03096551346243359,-0.03658967267037951,-0.025385967114561942,32
0,opposite_same_wording,old_absolute_local_V_necessity_loss,-0.005507230293005705,-0.0218254881183384,0.010122980382584492,32
0,opposite_same_wording,reader_all7_necessity,0.03025153954513371,0.02436018944972602,0.036218151386492536,32
0,opposite_same_wording,reader_all7_sufficiency,0.03025153954513371,0.024246006830071564,0.03621898652272648,32
0,opposite_same_wording,reader_negative_necessity,-0.030447740777162835,-0.036944331711129055,-0.024135308467884902,32
0,opposite_same_wording,reader_negative_sufficiency,-0.026084011158673093,-0.031681615341221915,-0.02074344907814521,32
0,opposite_same_wording,reader_non_kv0_necessity,0.0,0.0,0.0,32
0,opposite_same_wording,reader_non_kv0_sufficiency,0.0,0.0,0.0,32
0,opposite_same_wording,reader_target_necessity,0.048477627482498065,0.039969029027997746,0.057347965933877275,32
0,opposite_same_wording,reader_target_sufficiency,0.05100404529366642,0.04213796974581783,0.0601068279815081,32
0,opposite_same_wording,reader_verified_v_effect,0.03025153954513371,0.024218793612453736,0.036225861979255564,32
0,opposite_same_wording,runner_up_V_necessity_loss,0.005361287752748467,0.002653522518448881,0.00806396319931082,32
0,opposite_same_wording,runner_up_V_sufficiency,0.005735213519074023,0.003601606167285354,0.008010343903151805,32
0,opposite_same_wording,selected_H20_residual_effect,0.05525371845578775,0.041970619632775194,0.06976128351598161,32
0,opposite_same_wording,selected_V_necessity_loss,0.02420211906428449,0.017406030916026792,0.03176613304676719,32
0,opposite_same_wording,selected_V_sufficiency,0.03025153954513371,0.024329698764267958,0.036364077215694124,32
0,same_state_cross_wording,same_state_selected_V_control,0.005192993296077475,0.003154374713631114,0.007242608392698457,32
1,opposite_cross_wording,cross_selected_V_necessity_loss,0.06679026124766096,0.05094773115124553,0.0821406181967177,32
1,opposite_cross_wording,cross_selected_V_sufficiency,0.06177324120653793,0.05006416269025067,0.073592957877554,32
1,opposite_same_wording,old_absolute_V_sufficiency,0.003456130070844665,-0.012553775044943904,0.018855219192482734,32
1,opposite_same_wording,old_absolute_local_V_necessity_loss,-0.03388654245645739,-0.03942459565732861,-0.028212501554662595,32
1,opposite_same_wording,reader_all7_necessity,0.0643286521662958,0.0522907715254405,0.07599267182376934,32
1,opposite_same_wording,reader_all7_sufficiency,0.0643286521662958,0.05267800456495024,0.0762405432673404,32
1,opposite_same_wording,reader_negative_necessity,-0.03477274486795068,-0.038624730079754956,-0.03163262292800937,32
1,opposite_same_wording,reader_negative_sufficiency,-0.030137622088659555,-0.033959379555744816,-0.026431351052451646,32
1,opposite_same_wording,reader_non_kv0_necessity,0.0,0.0,0.0,32
1,opposite_same_wording,reader_non_kv0_sufficiency,0.0,0.0,0.0,32
1,opposite_same_wording,reader_target_necessity,0.08298521387041546,0.07318661171448185,0.09232221306447172,32
1,opposite_same_wording,reader_target_sufficiency,0.08230220203404315,0.07216052430376294,0.09248781826681807,32
1,opposite_same_wording,reader_verified_v_effect,0.0643286521662958,0.05249526591724134,0.07610343534615822,32
1,opposite_same_wording,runner_up_V_necessity_loss,0.026480312779312953,0.019968789315316825,0.03290019356063566,32
1,opposite_same_wording,runner_up_V_sufficiency,0.03214456472778693,0.02084028806493734,0.043612646499968814,32
1,opposite_same_wording,selected_H20_residual_effect,0.11716295051155612,0.0949342350337247,0.13936893570789832,32
1,opposite_same_wording,selected_V_necessity_loss,0.0688418006466236,0.05402102282241685,0.08434996787545969,32
1,opposite_same_wording,selected_V_sufficiency,0.0643286521662958,0.052944735197525,0.07616216919777798,32
1,same_state_cross_wording,same_state_selected_V_control,-0.005589164444245398,-0.009276341527584008,-0.002121118320064856,32
